✓,Параметр,Тип поля,Допустимые значения,Обязательное,Синонимы Veber,Синонимы Sturman,Функция нормализации,Описание
TRUE,Параметр: Цвет,enum,Чёрный; Зелёный; Коричневый; Камуфляжный; Серый; Бежевый; Синий; Красный; Жёлтый; Розовый; Оранжевый; Белый; Фиолетовый,,,,,"Единый регистр — каждое значение пишется с заглавной буквы.
 
 Сложные цвета (например, «серый/чёрный») лучше исключить или разносить в другие параметры, такие как «Оформление» или «Дополнительно», если требуется.
 
 Не использовать:
 
  Повторы одного цвета в разной форме (черный, Чёрный, черный цвет)
 
  Цветовые обозначения, не являющиеся названием (камуфляж, тёмный, светлый — только как часть уточняющего параметра, если есть потребность).
 
 Если камуфляж — использовать «Камуфляжный» (не просто «камуфляж» и не «мультикам»).
 
 Если параметр Цвет используется как уточнение других свойств (например: ""тёмный"", ""камуфляжный""), не нормализуй его как самостоятельный параметр, если не предусмотрено явно."
TRUE,Параметр: Страна производитель,формат,"Название страны, пример: Китай",,Страна,Страна,,"Указывается одна страна. Все формы 'КНР', 'China', 'PRC' и т.п. унифицируются до 'Китай'. Писать с заглавной буквы, без сокращений и пояснений."
TRUE,Параметр: Гарантия,enum,1 год; 10 лет; 24 месяца; 25 лет; 3 года; 30 лет; 5 лет; 6 мес; Пожизненная,,,,,"Допускаются значения в формате ""число + единица времени"" (например: 3 года, 10 лет, 6 месяцев). Использовать только полные формы: ""лет"", ""месяцев"", ""год"", ""года"". Значение ""Пожизненная"" писать с заглавной буквы, без сокращений."
TRUE,Габариты,формат,"Три числа через 'x', пример: 14.5x5.2x4.3",,,,,"Формат: Ш×Г×В в сантиметрах, через латинскую 'x', без единиц измерения и пробелов."
TRUE,"Параметр: Габариты, мм",формат,"Формат: Длина×Ширина×Высота, пример: 142x51x51",,,,,"Габариты, мм: значения должны быть в формате Д×Ш×В в миллиметрах, где:
 
  используется латинская ""x"" как разделитель (не ""×"", ""х"" или ""Х"");
 
  всегда три числовых значения;
 
  запрещены пробелы между числами и ""x"";
 
  пример корректного значения: 114x53x39."
TRUE,Параметр: Размер упаковки (ДхШхВ),текст,,,Размер упаковки,Размер упаковки,normalizeDimensions,
TRUE,Параметр: Вес упаковки,формат,,,Вес в упаковке; Вес с упаковкой,Вес в упаковке,,
TRUE,"Параметр: Вес, г",формат,"Число без пробелов и единиц, пример: 470",,Вес,Вес,,"Вес, г: указывать только числовое значение без единиц измерения и без лишних знаков (например, 150, 320, 580)"
TRUE,Вес,формат,Число без пробелов и единиц. Пример: 0.304 (для 304 г),,,,,"Указывается в килограммах с точкой в качестве десятичного разделителя. Без единиц измерения, пробелов или запятых."
TRUE,Дополнительное поле: Комплект поставки,формат,Перечень комплекта поставки в виде маркированного списка в формате HTML,,,,,"Комплект поставки: содержимое указывается в виде нумерованного списка с HTML-разметкой:
 
  Обязательно используйте теги <ol> и <li>;
 
  Для каждого пункта — только один тег <li> без вложенных <span>;
 
  Не использовать стили, теги <span>, пробелы/переносы после <li>;
 
  Пример корректного оформления:
  <ol><li>Монокуляр</li><li>Футляр</li><li>Салфетка</li></ol>
 
  Не дублировать названия модели в составе комплекта."
TRUE,Дополнительное поле: Преимущества товара,формат,Перечень преимуществ в виде маркированного списка в формате HTML,,,,,"Преимущества товара: содержимое указывается в виде нумерованного списка с HTML-разметкой:
 
  Обязательно используйте теги <ol> и <li>;
 
  Для каждого пункта — только один тег <li> без вложенных <span>;
 
  Не использовать стили, теги <span>, пробелы/переносы после <li>;
 
  Пример корректного оформления:
  <ol><li>Ударопрочный корпус</li><li>Азотное заполнение</li><li>Чехол в комплекте</li></ol>"
TRUE,Дополнительное поле: Изображение комплекта поставки,enum,"Ссылка на изображение (URL), заканчивается на .jpg; .webp и т.п.",,,,,"Изображение комплекта поставки: вставляется в формате HTML-тега <img>, обёрнутого в <p>:
 
  Атрибут src должен содержать прямую ссылку на изображение комплекта поставки;
 
  Обязателен атрибут alt с описанием: название модели + «– фото комплекта» (без повторов «фото 5» и т. п.);
 
  Размеры width и height можно указывать, но не обязательно;
 
  Пример корректного оформления:
  <p><img src=""https://site.ru/images/69372-kit.jpg"" alt=""Монокуляр Bresser Topas 10x25 Blue – фото комплекта"" /></p>
 
  Не вставлять более одного изображения в одну ячейку."
TRUE,Дополнительное поле: H2 для Особенностей,формат,"Текст в формате: ""особенности монокуляра [Модель]""",,,,,"Поле «H2 для Особенностей» используется для автоматической генерации подзаголовка к блоку с преимуществами товара. Чтобы оно работало корректно, вставьте в ячейку строку по шаблону:
 
 особенности монокуляра [Модель]
 Пример правильного оформления:
 
  особенности монокуляра Bresser Black Mamba 7x32
 
  особенности монокуляра Bresser Topas 10x25 Blue
 
 ⚠️ Важно:
 
  Только строчные буквы в начале;
 
  Не ставить кавычки, лишние запятые или точки;
 
  Не повторять слово «монокуляр» дважды;
 
  Не добавлять HTML‑тегов."
TRUE,Дополнительное поле: Аналогичные,формат,"Текст по шаблоне, например: монокуляру Bresser Borken 10x42",,,,,"Указывать полное название товара в дательном падеже (кому? чему?) — например:
  монокуляру Bresser Borken 10x42, телескопу Levenhuk Blitz 76 PLUS, биноклю Veber Sport 10x25 BR.
 
 Формат:
 
  Через запятую
 
  Без кавычек
 
  С маленькой буквы
 
  Без дополнительных слов (например, не писать «аналог», «похож на» и т.п.)"
TRUE,Дополнительное поле: Сопутствующие,формат,"Текст по шаблоне, например: Bresser Black Mamba 7x32",,,,,"Указывать названия товаров в именительном падеже, без кавычек, без артиклей и лишних уточнений.
  Пример: Bresser Black Mamba 7x32, Discovery Gator 10x42, Eschenbach 4.2x12мм
 
 Формат:
 
  Через запятую
 
  Только названия моделей, как они отображаются на сайте
 
  Без повторов
 
  Начинать с заглавной буквы
 
  Не включать слов типа ""монокуляр"", ""бинокль"", ""аксессуар"", если они не входят в официальное имя товара"
TRUE,Дополнительное поле: Ссылка на инструкцию,формат,Прямая ссылка (URL) на PDF-файл или страницу,,,,,
TRUE,Ссылка на видео,формат,Прямая ссылка на YouTube или видеохостинг,,,,,
